car,style,range,transmission,vehicletype,pricerange(lakhs),capacity,bootspace,basemodel,topmodel,range_km,cost_per_km,efficiency
Tata Nexon EV,Compact SUV,312 Km/Full Charge,Automatic,Electric,17.4,5 Seater ,350 L,XM ,Dark XZ Plus LUX ,312.0,0.055769230769230765,Medium
Tata Tigor EV,Subcompact Sedan,306 Km/Full Charge,Automatic,Electric,13.64,5 Seater ,316 L,XE ,XZ Plus Dual Tone ,306.0,0.04457516339869281,Medium
Tata Nexon EV Max,Compact SUV,437 Km/Full Charge,Automatic,Electric,19.24,5 Seater ,350 L,XZ Plus 3.3 kW ,XZ Plus Lux 7.2 kW ,437.0,0.044027459954233406,High
MG ZS EV,Compact SUV,419 Km/Full Charge,Automatic,Electric,25.88,5 Seater ,448 L,Excite ,Exclusive ,419.0,0.06176610978520286,High
Hyundai Kona Electric,Compact SUV,452 Km/Full Charge,Automatic,Electric,23.98,5 Seater ,na,Premium Dual Tone ,HSE ,452.0,0.05305309734513274,High
Jaguar I-Pace,Premium Midsize Sedan,470 Km/Full Charge,Automatic,Electric,112.0,5 Seater ,656 L,S ,Sportback 55 ,470.0,0.23829787234042554,High
Audi E-Tron GT,Premium Coupe,388 Km/Full Charge,Automatic,Electric,180.0,5 Seater ,405 L,Quattro ,na,388.0,0.4639175257731959,Medium
BYD E6,Subcompact MPV,415 Km/Full Charge,Automatic,Electric,29.15,5 Seater ,580 L,STD ,na,415.0,0.07024096385542168,High
Mercedes-Benz EQC,Compact SUV,471 Km/Full Charge,Automatic,Electric,100.0,5 Seater ,na,na,na,471.0,0.21231422505307856,High
BMW iX,Premium Fullsize SUV,425 Km/Full Charge,Automatic,Electric,116.0,5 Seater ,na,na,na,425.0,0.27294117647058824,High
Porsche Taycan,Premium Sports Sedan,na,Automatic,Electric,150.0,4 Seater ,na,na,na,,,Low
Audi E-Tron,Compact SUV,400 Km/Full Charge,Automatic,Electric,119.0,5 Seater ,660 L,na,na,400.0,0.2975,Medium
